Config ID,Window,K,Hidden Size,Num Layers,Ridge Alpha,Input Scaling,RMSE,MAE,MAPE,Training Time
378,96,1,20,5,1.0,0.7,342.63359597354946,243.36799673295073,0.019428771124524156,0.1233401081778786
379,96,1,20,5,1.0,0.1,885.3429423671216,672.4269208984251,0.05206725182054784,0.12757756493308323
380,96,1,20,7,0.001,0.1,241.69636732310693,168.88148109124774,0.013868635825074128,0.16813510114496402
381,96,1,20,7,0.001,0.3,240.77043472922017,166.93948944964885,0.013838142589824172,0.16227295181967993
382,96,1,20,7,0.001,0.5,242.24828058860402,167.87401443466248,0.013900925324553155,0.17760658264160153
383,96,1,20,7,0.001,0.7,242.81060922800228,168.09383096852324,0.01390941674176448,0.16408909450877796
384,96,1,20,7,0.001,0.1,241.68625789310744,168.8664050154333,0.013867783959548553,0.16188374432650474
385,96,1,20,7,0.01,0.1,300.50989354314663,213.4914120378693,0.017100355320357617,0.17853418263522058
386,96,1,20,7,0.01,0.3,242.49916068192198,169.57047907086644,0.013908137125057425,0.17873722856694998
387,96,1,20,7,0.01,0.5,238.97465621655857,166.09090622011655,0.013743046931934455,0.16709767688404428
388,96,1,20,7,0.01,0.7,239.67199984774982,166.2925687635438,0.01377901090718211,0.1676992069591175
389,96,1,20,7,0.01,0.1,300.5166789556051,213.47544650585996,0.017100046134272646,0.1644975272091952
390,96,1,20,7,0.1,0.1,493.7170657368395,348.26834938765296,0.027609559953281793,0.16810716282237656
391,96,1,20,7,0.1,0.3,305.8448187733145,217.26461224767164,0.01739225955696873,0.1686038103970614
392,96,1,20,7,0.1,0.5,264.91243992352236,187.3442193532919,0.015120866643922799,0.16957417401400476
393,96,1,20,7,0.1,0.7,249.85003221132118,175.4050810989289,0.0142873455365516,0.1762901652943004
394,96,1,20,7,0.1,0.1,493.7865406293802,348.30412854691076,0.0276086653062288,0.18072824044661084
395,96,1,20,7,1.0,0.1,884.735943679143,671.9609689178674,0.05205163808920952,0.16337175802751017
396,96,1,20,7,1.0,0.3,506.93701332235855,357.78778713306906,0.028329264342186574,0.17651130936362525
397,96,1,20,7,1.0,0.5,396.24775765548713,280.09007382232505,0.02231206103809841,0.18816887248646125
